year,Base case diesel consumed,Modeled residential ashp
2017,29380.8991964,-167930.685202
2018,29935.9716284,-167375.61277
2019,30491.0440604,-166820.540338
2020,31046.1164924,-166265.467906
2021,31601.1889244,-165710.395474
2022,32156.2613564,-165155.323042
2023,32711.3337884,-164600.25061
2024,33081.3820764,-164230.202322
2025,33636.4545084,-163675.12989
2026,34191.5269404,-163120.057458
2027,34746.5993724,-162564.985026
2028,35301.6718044,-162009.912594
2029,35856.7442364,-161454.840162
2030,36411.8166684,-160899.76773
2031,36966.8891004,-160344.695298
