year,Base case cost,Modeled wind power,Bethel renewable energy project,Bethel wind power project times 4,Bethel wind farm construction (bnc land)
2017,9752906.56712,,9841379.05267,9995345.32641,10311564.22
2018,10904335.9298,,10938260.445,11130381.9688,11185689.586
2019,12501272.9353,12656652.9416,12459436.3806,12704551.3073,12397482.1517
2020,13280662.4115,13250546.411,13202460.5432,13473012.3033,12992002.2968
2021,13802236.3101,13648456.305,13699790.8994,13987300.5484,13390329.9746
2022,14195836.0515,13949308.043,14075207.9841,14375436.0497,13691495.0505
2023,14493191.4804,14177102.4693,14358926.4203,14668693.2985,13919524.4802
2024,14727893.9011,14357701.8881,14583022.2913,14900208.2459,14100306.6793
2025,14995196.6854,14563172.6701,14838203.3044,15163868.2035,14305986.3533
2026,15327127.1052,14817813.0871,15154981.5102,15491245.0899,14560887.8851
2027,15634021.2465,15055146.2258,15448238.6589,15794041.0511,14798456.0272
2028,15870054.8359,15237076.8132,15673665.6986,16026887.1671,14980569.3951
2029,16172306.9344,15469767.9092,15962280.8044,16325041.0855,15213495.4944
2030,16379280.9964,15630367.9695,16160163.5381,16529283.0275,15374252.2236
2031,16714554.9348,15888351.905,16480285.2625,16860003.4324,15632497.274
2032,17081732.8215,16170510.7886,16830795.7138,17222172.4324,15914943.384
2033,17415399.9268,16426887.8911,17149310.6051,17551286.0043,16171581.6013
2034,17781285.0928,16707754.0539,17498528.3357,17912162.2835,16452734.9905
2035,18023020.582,16895386.5411,17729657.2751,18150710.2993,16640550.2581
2036,18394855.7456,17182202.7016,18084825.0033,18517536.5762,16927653.645
2037,18640068.9583,17373312.9123,,,
2038,19017456.5825,17665681.5334,,,
