year,Base case diesel consumed,Chikuminuk lake
2021,3180238.78113,0.0
2022,3182922.88151,2684.10038114
2023,3185316.80888,5078.02774811
2024,3187855.82275,7617.04162216
2025,3190467.37988,10228.5987498
2026,3193151.48026,12912.6991309
2027,3197141.3592,16902.5780758
2028,3199607.82982,19369.0486963
2029,3202437.01671,22198.2355846
2030,3205338.74685,25099.9657264
2031,3208167.93374,27929.1526146
2032,3210852.03412,30613.2529957
2033,3213173.41824,32934.6371091
2034,3215422.2591,35183.477969
2035,3218396.53249,38157.7513643
2036,3221515.8924,41277.1112667
2037,3224925.42531,44686.6441833
2038,3228770.21775,48531.4366212
2039,3231889.57765,51650.7965236
2040,3235081.48081,54842.6996795
2041,3239796.79229,59558.0111599
2042,3246108.05535,65869.2742183
2043,3250025.39104,69786.6099097
2044,3253507.46721,73268.6860798
2045,3257134.62989,76895.848757
2046,3261051.96558,80813.1844484
2047,3264896.75801,84657.9768863
2048,3268596.46395,88357.682817
2049,3276068.41906,95829.6379321
2050,3280058.29801,99819.5168771
