year,Base case diesel consumed,Modeled solar power (pv)
2016,3162755.85702,3115128.76111
2017,3166528.10621,3119282.02706
2018,3169865.09587,3122996.98535
2019,3172911.91252,3126418.74689
2020,3177191.96448,3131070.74417
2021,3180238.78113,3134486.53058
2022,3182922.88151,3137536.64897
2023,3185316.80888,3140293.6662
2024,3187855.82275,3143192.86521
2025,3190467.37988,3146161.726
2026,3193151.48026,3149200.27161
2027,3197141.3592,3153541.76022
2028,3199607.82982,3156357.02764
2029,3202437.01671,3159532.22094
2030,3205338.74685,3162777.18945
2031,3208167.93374,3165946.8688
2032,3210852.03412,3168968.7377
2033,3213173.41824,3171625.18818
2034,3215422.2591,3174206.41488
2035,3218396.53249,3177510.41503
