year,Base case cost,Modeled diesel efficiency
2019,12501272.9353,13082841.0027
2020,13280662.4115,13791376.8902
2021,13802236.3101,14265534.9798
2022,14195836.0515,14623352.9266
2023,14493191.4804,14893676.0437
2024,14727893.9011,15107041.8807
2025,14995196.6854,15350044.4119
2026,15327127.1052,15651799.339
2027,15634021.2465,15930794.0129
2028,15870054.8359,16145370.0033
2029,16172306.9344,16420144.6383
2030,16379280.9964,16608302.8765
2031,16714554.9348,16913097.3659
2032,17081732.8215,17246895.4447
2033,17415399.9268,17550229.1768
2034,17781285.0928,17882852.055
2035,18023020.582,18102611.5906
2036,18394855.7456,18440643.5575
2037,18640068.9583,18663564.66
2038,19017456.5825,19006644.3184
