year,Base case diesel consumed,Modeled residential energy efficiency
2017,1793803.07389,1358052.76517
2018,1788228.83074,1352478.52203
2019,1779867.46602,1344117.15731
2020,1770112.54052,1334362.2318
2021,1763144.73658,1327394.42787
2022,1751996.25029,1316245.94157
2023,1739454.20321,1303703.8945
2024,1724125.03456,1288374.72584
2025,1707402.30512,1271651.9964
2026,1689286.01489,1253535.70618
2027,1673956.84624,1238206.53753
2028,1657234.1168,1221483.80809
2029,1629362.90107,1193612.59236
2030,1601491.68534,1165741.37662
2031,1576407.59118,1140657.28246
2032,1562471.98331,1126721.6746
2033,1548536.37545,1112786.06673
2034,1534600.76758,1098850.45887
2035,1519271.59893,1083521.29021
2036,1498368.18713,1062617.87842
