year,population
2003,3980.0
2004,4028.0
2005,3958.0
2006,3892.0
2007,3941.0
2008,3819.0
2009,3976.0
2010,4040.0
2011,3972.0
2012,3967.0
2013,3970.0
2014,3971.0
2015,3972.0
2016,3967.0
2017,3964.0
2018,3954.0
2019,3937.0
2020,3919.0
2021,3906.0
2022,3886.0
2023,3862.0
2024,3836.0
2025,3803.0
2026,3770.0
2027,3743.0
2028,3712.0
2029,3661.0
2030,3609.0
2031,3562.0
2032,3536.0
2033,3510.0
2034,3485.0
2035,3456.0
2036,3420.0
2037,3376.0
2038,3341.0
2039,3312.0
2040,3285.0
