year,Base case cost,Modeled wind power
2019,1421115.62342,1491763.33886
2020,1509479.96002,1549185.4399
2021,1569465.60183,1585764.62287
2022,1616124.8794,1612552.48278
2023,1650316.24183,1630402.65938
2024,1676272.99177,1642211.82173
2025,1710659.31887,1660643.76228
2026,1749907.67191,1682792.41918
2027,1784511.63398,1701810.87521
2028,1813951.29931,1717174.95312
2029,1851404.91943,1738728.89062
2030,1875212.52393,1750136.3914
2031,1915518.82479,1774212.5361
2032,1955952.0794,1798577.50793
2033,1999739.02862,1825788.28541
2034,2043105.06574,1852732.52528
2035,2073852.80798,1870539.06888
2036,2117479.55368,1898041.99662
2037,2147851.72444,1915763.96419
2038,2191727.84355,1943800.44058
