year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12282.706556,7983.75926143
2018,12285.6627454,7985.68078453
2019,12288.4897608,7987.51834454
2020,12291.3736235,7989.39285525
2021,12294.1930325,7991.22547115
2022,12296.8491059,7992.95191885
2023,12299.4447291,7994.6390739
2024,12301.9909779,7996.29413562
2025,12304.6374433,7998.01433813
2026,12307.3419569,7999.77227198
2027,12310.1823167,8001.61850587
2028,12313.1166213,8003.52580381
2029,12315.6109603,8005.14712417
2030,12318.1532057,8006.79958373
2031,12320.8574525,8008.55734411
