year,Base case diesel consumed,Modeled solar power
2020,260255.165521,256983.258971
2021,260708.571733,257462.840435
2022,261086.410243,257866.644795
2023,261539.816454,258345.80913
2024,261917.654964,258749.199699
2025,262371.061176,259227.953553
2026,262748.899685,259630.936923
2027,263202.305897,260109.286837
2028,263655.712109,260587.437201
2029,264109.118321,261065.389612
2030,264486.95683,261467.577952
2031,264940.363042,261945.139195
2032,265393.769254,262422.507197
2033,265922.743167,262975.251207
2034,266376.149379,263452.237355
2035,266905.123293,264004.602564
2036,267358.529504,264481.212942
2037,267811.935716,264957.637686
2038,268265.341928,265433.878282
2039,268794.315842,265985.503905
