year,Base case cost,Modeled diesel efficiency
2019,1421115.62342,1588417.16324
2020,1509479.96002,1661799.30326
2021,1569465.60183,1709545.4988
2022,1616124.8794,1745335.86947
2023,1650316.24183,1769947.09574
2024,1676272.99177,1787223.99417
2025,1710659.31887,1812312.27303
2026,1749907.67191,1841965.23217
2027,1784511.63398,1867537.28397
2028,1813951.29931,1888552.47594
2029,1851404.91943,1916987.80335
2030,1875212.52393,1933149.22655
2031,1915518.82479,1964437.94554
2032,1955952.0794,1995967.54669
2033,1999739.02862,2030668.49012
2034,2043105.06574,2065106.4434
2035,2073852.80798,2088190.07224
2036,2117479.55368,2123096.00002
2037,2147851.72444,2146063.75371
2038,2191727.84355,2181416.65166
