year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,159765.1878,118226.238972
2018,159765.1878,118226.238972
2019,159765.1878,118226.238972
2020,159765.1878,118226.238972
2021,159765.1878,118226.238972
2022,159765.1878,118226.238972
2023,159765.1878,118226.238972
2024,159765.1878,118226.238972
2025,159765.1878,118226.238972
2026,159765.1878,118226.238972
2027,159765.1878,118226.238972
2028,159765.1878,118226.238972
2029,159765.1878,118226.238972
2030,159765.1878,118226.238972
2031,159765.1878,118226.238972
