year,Base case cost,Modeled solar power
2020,1509479.96002,1527978.45037
2021,1569465.60183,1586620.72006
2022,1616124.8794,1632126.23886
2023,1650316.24183,1665349.0323
2024,1676272.99177,1690454.68374
2025,1710659.31887,1723916.03928
2026,1749907.67191,1762198.54322
2027,1784511.63398,1795920.54071
2028,1813951.29931,1824560.18395
2029,1851404.91943,1861141.62957
2030,1875212.52393,1884248.23456
2031,1915518.82479,1923691.19017
2032,1955952.0794,1963280.9579
2033,1999739.02862,2006214.39308
2034,2043105.06574,2048746.43365
2035,2073852.80798,2078824.32391
2036,2117479.55368,2121653.75942
2037,2147851.72444,2151389.68999
2038,2191727.84355,2194503.69312
2039,2228304.87833,2230420.49991
