year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,258894.95,12282.71,159765.19,94330.01
2018,259348.35,12285.66,159765.19,94330.01
2019,259801.76,12288.49,159765.19,96120.91
2020,260255.17,12291.37,159765.19,96120.91
2021,260708.57,12294.19,159765.19,97911.81
2022,261086.41,12296.85,159765.19,99702.71
2023,261539.82,12299.44,159765.19,99702.71
2024,261917.65,12301.99,159765.19,101493.61
2025,262371.06,12304.64,159765.19,101493.61
2026,262748.9,12307.34,159765.19,103284.51
2027,263202.31,12310.18,159765.19,103284.51
2028,263655.71,12313.12,159765.19,105075.41
2029,264109.12,12315.61,159765.19,105075.41
2030,264486.96,12318.15,159765.19,106866.31
2031,264940.36,12320.86,159765.19,108657.21
2032,265393.77,12323.95,159765.19,108657.21
2033,265922.74,12327.18,159765.19,110448.11
2034,266376.15,12330.4,159765.19,112239.01
2035,266905.12,12333.52,159765.19,112239.01
2036,267358.53,12336.49,159765.19,114029.91
2037,267811.94,12339.33,159765.19,114029.91
2038,268265.34,12342.25,159765.19,115820.81
2039,268794.32,12345.37,159765.19,117611.72
2040,269323.29,12348.62,159765.19,117611.72
