year,Base case diesel consumed,Modeled wind power
2019,259801.759309,196378.01903
2020,260255.165521,196831.425241
2021,260708.571733,197284.831453
2022,261086.410243,197662.669963
2023,261539.816454,198116.076175
2024,261917.654964,198493.914684
2025,262371.061176,198947.320896
2026,262748.899685,199325.159406
2027,263202.305897,199778.565617
2028,263655.712109,200231.971829
2029,264109.118321,200685.378041
2030,264486.95683,201063.216551
2031,264940.363042,201516.622762
2032,265393.769254,201970.028974
2033,265922.743167,202499.002888
2034,266376.149379,202952.409099
2035,266905.123293,203481.383013
2036,267358.529504,203934.789225
2037,267811.935716,204388.195437
2038,268265.341928,204841.601648
