year,Base case diesel consumed,Modeled solar power (pv)
2016,1321646.08369,1303793.10278
2017,1321774.30522,1304064.14817
2018,1321774.30522,1304205.82943
2019,1321838.41599,1304410.488
2020,1321774.30522,1304485.80066
2021,1321646.08369,1304495.88716
2022,1321581.97292,1304568.97796
2023,1321581.97292,1304705.08192
2024,1321581.97292,1304840.09705
2025,1321517.86215,1304909.92128
2026,1321197.3083,1304722.23096
2027,1320620.31137,1304277.03465
2028,1319850.98213,1303638.45163
2029,1319209.87443,1303127.04417
2030,1318376.43443,1302422.26681
2031,1317286.55134,1301460.01706
2032,1315940.22517,1300240.30317
2033,1314465.67747,1298891.35484
2034,1312991.12976,1297541.40172
2035,1311388.36052,1296062.2303
