year,Base case cost,Modeled solar power (pv)
2016,2127850.19473,2284274.29688
2017,2537806.66603,2685021.96067
2018,2841814.75623,2981406.23479
2019,3251722.50335,3382449.71817
2020,3449830.93664,3574633.23681
2021,3581660.88679,3701521.59649
2022,3687213.70443,3802582.65373
2023,3753292.80308,3864778.11861
2024,3806156.082,3914016.7105
2025,3872047.33609,3976204.00263
2026,3963591.92489,4063802.62319
2027,4027891.94967,4124574.35881
2028,4078339.53479,4171739.39097
2029,4155511.10446,4245385.90234
2030,4205620.82582,4292372.15335
2031,4281181.29185,4364568.20434
2032,4368921.54758,4448865.98433
2033,4442893.98984,4519631.41101
2034,4529819.39768,4603270.80631
2035,4589859.26182,4660407.49573
