year,Base case cost,"Naknek (unnamed stream, site #1) -- unnamed creek"
2021,3581660.88679,3747750.42332
2022,3687213.70443,3850022.74679
2023,3753292.80308,3912911.54138
2024,3806156.082,3962663.4646
2025,3872047.33609,4025511.11187
2026,3963591.92489,4114073.41402
2027,4027891.94967,4175469.73361
2028,4078339.53479,4223085.84474
2029,4155511.10446,4297482.39969
2030,4205620.82582,4344890.94058
2031,4281181.29185,4417803.63157
2032,4368921.54758,4502952.7742
2033,4442893.98984,4574398.78656
2034,4529819.39768,4658851.58253
2035,4589859.26182,4716485.47068
2036,4675934.56085,4800201.16937
2037,4722539.98753,4844515.713
2038,4807742.73898,4927466.64034
2039,4866608.73492,4984142.27336
2040,4964147.06523,5079526.83302
2041,4957063.46628,5070376.89607
2042,4950224.12936,5061519.6509
2043,4943140.5304,5052465.43853
2044,4936301.19348,5043701.67443
2045,4929461.85656,5034983.01413
2046,4922622.51964,5026308.40039
2047,4915783.18272,5017676.80102
2048,4908943.8458,5009087.20775
2049,4902348.77091,5000782.89812
2050,4895753.69602,4992518.64873
