year,Base case cost,Modeled non-residential energy efficiency
2017,6678755.77125,6554342.19002
2018,7050711.00272,6882990.65522
2019,7591736.79396,7361024.78643
2020,7828435.57762,7570164.71883
2021,8014413.19336,7734488.95143
2022,8132762.58519,7839058.91764
2023,8234204.92105,7928690.31724
2024,8301833.14495,7988444.58364
2025,8386368.42483,8063137.41664
2026,8487810.76069,8152768.81624
2027,8589253.09655,8242400.21584
2028,8656881.32045,8302154.48224
2029,8758323.65631,8391785.88184
2030,8825951.88021,8451540.14824
2031,8927394.21607,8541171.54785
