year,Base case cost,Modeled biomass for heat (cordwood)
2017,2992591.79955,4178857.53167
2018,3197982.47955,4330726.40128
2019,3496732.55955,4551626.57526
2020,3627435.71955,4648270.40137
2021,3730131.05955,4724204.83618
2022,3795482.63955,4772526.74924
2023,3851498.27955,4813945.53186
2024,3888842.03955,4841558.0536
2025,3935521.73955,4876073.70579
2026,3991537.37955,4917492.48841
2027,4047553.01955,4958911.27103
2028,4084896.77955,4986523.79278
2029,4140912.41955,5027942.5754
2030,4178256.17955,5055555.09715
2031,4234271.81955,5096973.87977
2032,,
2033,,
2034,,
2035,,
2036,,
