year,Base case cost,Modeled water and wastewater efficiency
2017,86489.3166921,162692.491673
2018,91082.1278131,165868.312578
2019,98119.2855651,170738.491403
2020,101081.189365,172787.236266
2021,103404.111557,174394.004677
2022,104822.405356,175374.495771
2023,106020.828499,176202.84294
2024,106733.546276,176694.643286
2025,107657.923814,177332.891134
2026,108765.593882,178097.716947
2027,109826.222248,178829.621383
2028,110430.803566,179245.767456
2029,111562.302342,180027.406582
2030,112200.617234,180467.250406
2031,113670.117239,181485.68083
