year,Base case diesel consumed,Modeled non-residential ashp
2017,7982.51775971,7615.59379179
2018,9456.51901721,9089.59504929
2019,9456.51901721,9089.59504929
2020,9456.51901721,9089.59504929
2021,9456.51901721,9089.59504929
2022,9456.51901721,9089.59504929
2023,9456.51901721,9089.59504929
2024,9456.51901721,9089.59504929
2025,9456.51901721,9089.59504929
2026,9456.51901721,9089.59504929
2027,9456.51901721,9089.59504929
2028,9456.51901721,9089.59504929
2029,9456.51901721,9089.59504929
2030,10930.5202747,10563.5963068
2031,10930.5202747,10563.5963068
