year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,83239.0,66094.858951
2018,83241.0,66096.858951
2019,83243.0,66098.858951
2020,82428.0,65283.858951
2021,82430.0,65285.858951
2022,82432.0,65287.858951
2023,82435.0,65290.858951
2024,82437.0,65292.858951
2025,82439.0,65294.858951
2026,82441.0,65296.858951
2027,82442.0,65297.858951
2028,82444.0,65299.858951
2029,82444.0,65299.858951
2030,82445.0,65300.858951
2031,82446.0,65301.858951
2032,82444.0,65299.858951
2033,82446.0,65301.858951
2034,82444.0,65299.858951
2035,82445.0,65300.858951
2036,82445.0,65300.858951
