year,Base case diesel consumed,Modeled residential energy efficiency
2017,10348.3534263,8735.23891748
2018,10348.3534263,8735.23891748
2019,10348.3534263,8735.23891748
2020,9530.80430369,7917.68979492
2021,9530.80430369,7917.68979492
2022,9530.80430369,7917.68979492
2023,9530.80430369,7917.68979492
2024,9530.80430369,7917.68979492
2025,9530.80430369,7917.68979492
2026,9530.80430369,7917.68979492
2027,9530.80430369,7917.68979492
2028,9530.80430369,7917.68979492
2029,9530.80430369,7917.68979492
2030,9530.80430369,7917.68979492
2031,9530.80430369,7917.68979492
2032,9530.80430369,7917.68979492
2033,9530.80430369,7917.68979492
2034,9530.80430369,7917.68979492
2035,9530.80430369,7917.68979492
2036,9530.80430369,7917.68979492
