year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,44660.73,413834.75,72064.95,4765.79,49829.72,28613.51
2018,47513.87,440151.11,76204.3,5514.33,57700.17,33132.92
2019,51434.67,476336.1,81895.89,6543.39,68522.04,39347.11
2020,53226.49,492783.83,77808.59,7007.37,73441.07,40063.16
2021,54448.23,503968.28,79428.82,7321.42,76786.01,41887.87
2022,55391.44,512521.1,80667.83,7558.05,79343.9,43283.24
2023,56051.03,518442.28,81525.6,7719.21,81114.75,44249.27
2024,56562.9,523047.64,82192.76,7844.89,82492.08,45000.62
2025,57219.96,528968.82,83050.53,8006.77,84262.93,45966.64
2026,58017.04,536205.82,84098.92,8206.82,86427.31,47147.34
2027,58670.4,542127.0,84956.69,8369.92,88198.16,48113.36
2028,59180.82,546732.36,85623.84,8495.81,89575.48,48864.72
2029,59893.33,553311.45,86576.93,8682.28,91543.1,49938.08
2030,60330.12,557258.91,87148.77,8790.39,92723.66,50582.09
2031,61126.56,564495.9,88197.16,8990.25,94888.04,51762.79
2032,61893.71,571732.9,89245.55,9202.17,97052.41,52943.49
2033,62619.57,578311.99,90198.63,9383.02,99020.02,54016.85
2034,63453.9,586206.9,91342.33,9615.45,101381.16,55304.88
2035,63966.23,590812.26,92009.48,9740.2,102758.48,56056.23
2036,64750.73,598049.26,93057.87,9944.94,104922.86,57236.93
2037,65263.81,602654.62,93725.03,10069.25,106300.19,57988.28
2038,66135.95,610549.53,94868.72,10285.43,108661.32,59276.31
2039,66792.49,616470.71,87515.11,10446.41,110432.17,57071.69
2040,67659.27,624365.62,88560.7,10664.73,112793.31,58291.93
