year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7100.10348302,4615.06726397
2018,7102.06162662,4616.3400573
2019,7104.08755645,4617.65691169
2020,7106.19578865,4619.02726262
2021,7107.98280193,4620.18882126
2022,7110.44428172,4621.78878312
2023,7112.93765699,4623.40947704
2024,7114.69470582,4624.55155878
2025,7116.77636954,4625.9046402
2026,7118.52296411,4627.03992667
2027,7120.06293713,4628.04090914
2028,7121.50895496,4628.98082072
2029,7121.55163766,4629.00856448
2030,7122.67204178,4629.73682716
2031,7124.18151765,4630.71798648
