year,Base case cost,Modeled biomass for heat (cordwood)
2017,523585.969653,557228.353067
2018,556894.949957,582630.443421
2019,602691.980261,617973.554031
2020,617398.25631,627393.167746
2021,631426.336614,637529.5692
2022,642157.816918,645078.038833
2023,649600.337374,650045.680017
2024,655386.687678,653721.875425
2025,662822.097983,658725.577667
2026,671906.688287,665056.406825
2027,679334.618439,670093.800184
2028,685122.178743,673853.571305
2029,693366.578743,679575.257087
2030,698321.688895,682712.363204
2031,707399.219047,689133.182786
2032,716450.898743,695546.218825
2033,724712.879047,701358.640358
2034,734588.578743,708459.128417
2035,740368.638895,712338.010106
2036,749437.588895,718836.447764
