year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,172101
2004,,0,0,0,0,0,206051
2005,,0,0,0,0,0,164457
2006,,0,0,0,0,0,202153
2007,,0,0,0,0,0,201690
2008,,0,0,0,0,0,238528
2009,start of forecast,0,0,0,0,0,222000
2010,,0,0,0,0,0,227000
2011,,0,0,0,0,0,229000
2012,,0,0,0,0,0,229000
2013,,0,0,0,0,0,229000
2014,,0,0,0,0,0,229000
2015,,0,0,0,0,0,229000
2016,,0,0,0,0,0,229000
2017,,0,0,0,0,0,228000
2018,,0,0,0,0,0,228000
2019,,0,0,0,0,0,228000
2020,,0,0,0,0,0,228000
2021,,0,0,0,0,0,228000
2022,,0,0,0,0,0,227000
2023,,0,0,0,0,0,227000
2024,,0,0,0,0,0,227000
2025,,0,0,0,0,0,227000
2026,,0,0,0,0,0,226000
2027,,0,0,0,0,0,226000
2028,,0,0,0,0,0,226000
2029,,0,0,0,0,0,226000
2030,,0,0,0,0,0,226000
2031,,0,0,0,0,0,226000
2032,,0,0,0,0,0,226000
2033,,0,0,0,0,0,226000
2034,,0,0,0,0,0,226000
2035,,0,0,0,0,0,226000
2036,,0,0,0,0,0,226000
2037,,0,0,0,0,0,226000
2038,,0,0,0,0,0,226000
2039,,0,0,0,0,0,225000
2040,,0,0,0,0,0,225000
