year,Base case diesel consumed,Modeled solar power (pv)
2016,279448.42937,275801.723068
2017,279138.27573,275520.743079
2018,278828.12209,275239.5297
2019,278517.968451,274958.0848
2020,278285.353221,274753.948639
2021,277975.199581,274472.046236
2022,277742.584351,274267.456233
2023,277509.969122,274062.642028
2024,277199.815482,273780.067005
2025,276967.200252,273574.809763
2026,276734.585022,273369.333657
2027,276501.969793,273163.640439
2028,276191.816153,272880.193434
2029,275959.200923,272674.071186
2030,275726.585693,272467.736994
2031,275493.970464,272261.192554
2032,275261.355234,272054.439547
2033,274951.201594,271769.941233
2034,274641.047954,271485.237676
2035,274408.432725,271277.868929
