year,Base case cost,Modeled residential energy efficiency
2017,158406.950057,201678.170114
2018,191276.052226,231093.944675
2019,237301.943672,272285.177469
2020,257504.035905,290185.051295
2021,276558.674545,307628.137052
2022,291918.072719,321836.426022
2023,304437.004945,333549.581807
2024,316118.42155,344540.33289
2025,323672.403002,351288.5379
2026,338970.936006,365551.072621
2027,352352.81318,378127.173353
2028,364845.398036,389929.092687
2029,379841.441285,404004.248574
2030,384434.144498,408136.508106
2031,400940.800428,423607.165754
2032,417758.11654,439388.483583
2033,434886.092833,455480.461593
2034,452324.729307,471883.099784
2035,466370.615068,485238.320023
2036,477480.84775,495312.554423
