year,Base case cost,"Mentasta lake (right tributary of slana river) -- slana river, tributary",Carlson creek
2021,314177.412032,1023671.39672,1667584.09319
2022,326338.66369,1034159.99926,1671157.00928
2023,335668.419856,1042318.90105,1674474.93054
2024,344007.367432,1049654.25916,1677660.87678
2025,353499.537148,1057975.5745,1681141.2116
2026,363875.099084,1067013.01715,1684646.10508
2027,373535.697667,1075502.76136,1688294.86876
2028,381584.19138,1082547.66561,1691190.36113
2029,391700.235369,1091492.85522,1695294.57022
2030,399382.654096,1098338.94939,1698682.82117
2031,411586.872302,1109037.7834,1703157.53736
2032,422130.003774,1118242.79558,1706830.00038
2033,433865.88661,1128473.29422,1710836.3812
2034,445339.673506,1138441.69692,1714580.66608
2035,453827.285337,1145925.71928,1717915.27657
2036,466910.599109,1157336.38395,1722410.25478
2037,474735.666774,1164325.12706,1725941.15466
2038,487977.956772,1175894.76795,1730595.10909
2039,497484.735114,1184230.69191,1734090.05253
2040,510496.724417,1195570.0321,1738513.70626
2041,512019.458867,1197092.76655,1740036.44071
2042,513542.193317,1198615.501,1741559.17516
2043,514684.244155,1199757.55184,1742701.226
2044,516206.978605,1201280.28629,1744223.96045
2045,517729.713055,1202803.02074,1745746.6949
2046,518871.763893,1203945.07158,1746888.74574
2047,520013.814731,1205087.12242,1748030.79658
2048,520775.181956,1205848.48964,1748792.1638
2049,521917.232793,1206990.54048,1749934.21464
2050,523059.283631,1208132.59132,1751076.26548
