year,Base case cost,Modeled solar power (pv)
2016,167193.149036,178809.852163
2017,206234.27293,217197.119182
2018,236422.569338,246906.236276
2019,278412.917065,288226.468173
2020,298961.238833,308492.264652
2021,314177.412032,323519.701935
2022,326338.66369,335548.51882
2023,335668.419856,344800.829084
2024,344007.367432,353081.296486
2025,353499.537148,362499.060525
2026,363875.099084,372784.687648
2027,373535.697667,382374.116974
2028,381584.19138,390369.776874
2029,391700.235369,400417.534701
2030,399382.654096,408066.24529
2031,411586.872302,420172.021475
2032,422130.003774,430634.965486
2033,433865.88661,442276.189839
2034,445339.673506,453657.238663
2035,453827.285337,462101.700127
