year,Base case cost,Modeled biomass for heat (cordwood)
2017,5685051.47714,6484183.56185
2018,6227412.87714,6885213.54916
2019,6971222.79714,7435197.53177
2020,7343127.75714,7710189.52307
2021,7591064.39714,7893517.51728
2022,7777016.87714,8031013.51293
2023,7916481.23714,8134135.50967
2024,8024953.51714,8214341.50713
2025,8148921.83714,8306005.50423
2026,8319378.27714,8432043.50025
2027,8458842.63714,8535165.49698
2028,8567314.91714,8615371.49445
2029,8722275.31714,8729951.49083
2030,8799755.51714,8787241.48901
2031,8970211.95714,8913279.48503
2032,,
2033,,
2034,,
2035,,
2036,,
