year,Base case cost,Modeled non-residential energy efficiency
2017,870374.802183,899141.180089
2018,911810.872182,933330.219225
2019,968163.92738,981072.458514
2020,994683.012179,1001934.84099
2021,1012914.88298,1015382.53396
2022,1026174.42538,1024408.74542
2023,1036119.08218,1030509.26879
2024,1044406.29618,1035179.93597
2025,1052693.51018,1039916.61736
2026,1064295.60978,1047712.67498
2027,1074240.26658,1054074.23403
2028,1082527.48058,1058999.81889
2029,1092472.13738,1065482.89806
2030,1099101.90858,1069029.70033
2031,1110704.00817,1077126.12462
