year,Base case cost,Modeled diesel efficiency
2019,326862.358052,524664.183925
2020,353332.548909,543395.573837
2021,370924.804006,554181.091562
2022,384981.921181,561874.896952
2023,396379.076604,567269.744411
2024,406515.689066,571635.038835
2025,417129.957884,576548.233708
2026,430743.021247,584298.608915
2027,446694.347702,594283.079432
2028,458590.598805,600686.978555
2029,471726.549897,608321.257855
2030,481702.214637,613183.506225
2031,496835.517492,622833.107447
2032,513641.794302,634099.87406
2033,530664.86838,645657.752405
2034,546180.121059,655936.70395
2035,562053.851651,666631.21208
2036,578316.684151,677767.015469
2037,593061.822768,687608.610862
2038,611266.391977,700678.65286
