year,Base case cost,Modeled non-residential energy efficiency
2017,602279.779521,695911.476063
2018,644394.802784,734377.509211
2019,703355.835351,789775.074718
2020,731432.517527,814371.808629
2021,751086.195049,830627.099116
2022,765124.536137,841346.702867
2023,774951.374898,847932.587354
2024,783374.379551,853190.597423
2025,793201.218312,859926.621178
2026,805835.725291,869542.754248
2027,815662.564052,876421.962202
2028,824085.568704,881966.420987
2029,835316.241575,890386.014113
2030,840931.57801,893256.155331
2031,853566.084988,903209.807735
