year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,279138.28,11685.26,140383.41,59245.51
2018,278828.12,11689.11,140383.41,60407.97
2019,278517.97,11692.87,140383.41,61570.43
2020,278285.35,11696.51,140383.41,61570.43
2021,277975.2,11700.16,140383.41,62732.89
2022,277742.58,11703.59,140383.41,63895.35
2023,277509.97,11706.96,140383.41,65057.82
2024,277199.82,11710.24,140383.41,66220.28
2025,276967.2,11713.54,140383.41,66220.28
2026,276734.59,11716.89,140383.41,67382.74
2027,276501.97,11720.31,140383.41,68545.2
2028,276191.82,11723.76,140383.41,69707.66
2029,275959.2,11726.85,140383.41,70870.12
2030,275726.59,11729.93,140383.41,70870.12
2031,275493.97,11733.15,140383.41,72032.58
