year,Base case cost,Point lay wind generation design,Modeled wind power
2019,921894.475572,764877.662671,1079881.42565
2020,976781.589805,799787.317986,1107839.00163
2021,1014609.47847,822893.022903,1124250.19725
2022,1041534.69132,838618.949448,1133501.33695
2023,1060088.08204,848629.064027,1137235.73319
2024,1075535.28407,856456.689932,1138949.02912
2025,1094020.441,866513.693812,1143015.49341
2026,1118007.72349,880397.457307,1151012.09718
2027,1136423.09585,890494.466744,1155390.53512
2028,1151719.87336,898391.309973,1157717.13711
2029,1172826.60392,910418.925616,1164268.44179
2030,1182867.05262,914892.602046,1163459.38374
2031,1206663.59063,928844.422587,1172165.13826
2032,1230418.25789,942802.550812,1180996.54631
2033,1253777.47927,956412.282339,1189596.10619
2034,1277080.87299,970012.132829,1198299.60232
2035,1292463.71813,978332.672342,1201886.26196
2036,1315671.73961,991925.838259,1210802.76737
2037,1330987.12634,1000265.52844,1214623.12252
2038,1354483.5907,1014231.71643,1224122.16649
