year,Base case cost,Modeled diesel efficiency
2019,921894.475572,1136246.7343
2020,976781.589805,1179155.96604
2021,1014609.47847,1206720.59542
2022,1041534.69132,1224533.64729
2023,1060088.08204,1234892.1493
2024,1075535.28407,1242579.37938
2025,1094020.441,1253177.34794
2026,1118007.72349,1268922.71908
2027,1136423.09585,1279744.77781
2028,1151719.87336,1287870.481
2029,1172826.60392,1301413.43959
2030,1182867.05262,1305028.4458
2031,1206663.59063,1321278.19132
2032,1230418.25789,1337616.04759
2033,1253777.47927,1353717.62529
2034,1277080.87299,1369888.78074
2035,1292463.71813,1378976.94697
2036,1315671.73961,1395293.66559
2037,1330987.12634,1404547.32756
2038,1354483.5907,1421347.77244
