year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,24974.0,21486.4817984
2018,24971.0,21483.4817984
2019,24968.0,21480.4817984
2020,24966.0,21478.4817984
2021,24964.0,21476.4817984
2022,24962.0,21474.4817984
2023,24961.0,21473.4817984
2024,24960.0,21472.4817984
2025,24959.0,21471.4817984
2026,24958.0,21470.4817984
2027,26036.0,22548.4817984
2028,26035.0,22547.4817984
2029,26034.0,22546.4817984
2030,26033.0,22545.4817984
2031,26032.0,22544.4817984
2032,26031.0,22543.4817984
2033,26030.0,22542.4817984
2034,26029.0,22541.4817984
2035,26028.0,22540.4817984
2036,26026.0,22538.4817984
