year,annotation,diesel generation efficiency
2002,,9.21
2003,,11.75
2004,,8.54
2005,,9.03
2006,,10.49
2007,,10.68
2008,,9.12
2009,,7.36
2010,,
2011,,
2012,,10.38
2013,,10.24
2014,start of forecast,9.33
2015,,9.33
2016,,9.33
2017,,9.33
2018,,9.33
2019,,9.33
2020,,9.33
2021,,9.33
2022,,9.33
2023,,9.33
2024,,9.33
2025,,9.33
2026,,9.33
2027,,9.33
2028,,9.33
2029,,9.33
2030,,9.33
2031,,9.33
2032,,9.33
2033,,9.33
2034,,9.33
2035,,9.33
2036,,9.33
2037,,9.33
2038,,9.33
2039,,9.33
2040,,9.33
