year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,13383.4031371,9903.71832146
2018,13383.4031371,9903.71832146
2019,13383.4031371,9903.71832146
2020,13383.4031371,9903.71832146
2021,13383.4031371,9903.71832146
2022,13383.4031371,9903.71832146
2023,13383.4031371,9903.71832146
2024,13383.4031371,9903.71832146
2025,13383.4031371,9903.71832146
2026,13383.4031371,9903.71832146
2027,13383.4031371,9903.71832146
2028,13383.4031371,9903.71832146
2029,13383.4031371,9903.71832146
2030,13383.4031371,9903.71832146
2031,13383.4031371,9903.71832146
