year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8108.11537977,5270.27499685
2018,8105.4826365,5268.56371373
2019,8102.36173903,5266.53513037
2020,8100.23273148,5265.15127546
2021,8097.95237016,5263.6690406
2022,8096.4201213,5262.67307885
2023,8095.18525297,5261.87041443
2024,8094.09288226,5261.16037347
2025,8092.98919164,5260.44297457
2026,8091.87398135,5259.71808788
2027,8088.95531063,5257.82095191
2028,8088.21598774,5257.34039203
2029,8086.89075995,5256.47899397
2030,8085.88595202,5255.82586881
2031,8084.87555072,5255.16910797
