year,Base case cost,Modeled diesel efficiency
2019,54155.7157961,187001.607782
2020,56632.3491404,186024.128444
2021,59040.3658033,185059.949159
2022,60211.1379297,183044.907242
2023,61131.0303148,180873.965802
2024,61800.0429584,178545.433275
2025,62636.308763,176437.778606
2026,63639.8277285,174549.388591
2027,64476.0935331,172574.591164
2028,65228.7327572,170587.872072
2029,66148.6251422,168815.801363
2030,66734.0112054,166800.766907
2031,67737.5301709,165225.553341
2032,68741.0491364,163708.640637
2033,69744.5681019,162248.66238
2034,70831.7136479,160920.308327
2035,72417.4022696,160099.47215
2036,73518.485579,158891.110015
2037,74196.0753078,157349.535295
2038,75212.4599011,156166.523836
