year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,3.45,
2008,,6.27,7.75
2009,,8.2,5.74
2010,,,6.18
2011,,,6.92
2012,,7.83,7.61
2013,,8.38,7.91
2016,,4.77,6.97
2017,,5.45,7.65
2018,,5.92,8.12
2019,,6.56,8.76
2020,,6.86,9.06
2021,,7.06,9.26
2022,,7.2,9.4
2023,,7.31,9.51
2024,,7.39,9.59
2025,,7.49,9.69
2026,,7.61,9.81
2027,,7.71,9.91
2028,,7.8,10.0
2029,,7.91,10.11
2030,,7.98,10.18
2031,,8.1,10.3
2032,,8.22,10.42
2033,,8.34,10.54
2034,,8.47,10.67
2035,,8.55,10.75
2036,,8.68,10.88
2037,,8.76,10.96
2038,,8.88,11.08
2039,,8.98,11.18
2040,,9.12,11.32
