year,Base case cost,Modeled wind power
2019,745840.004221,945558.197833
2020,788109.492853,978082.300981
2021,822300.668736,1003786.91695
2022,848921.847052,1022951.13635
2023,871741.006983,1038887.5515
2024,888858.227976,1049919.62077
2025,907764.121114,1062404.00645
2026,930475.454851,1078354.75567
2027,947475.844105,1089157.75556
2028,962503.354002,1098322.24362
2029,984375.400429,1113984.40392
2030,999423.057485,1123603.99785
2031,1018347.25468,1136295.91073
2032,1038182.67256,1150223.62499
2033,1058029.34844,1164032.40804
2034,1079895.48506,1179954.44405
2035,1095885.92922,1190771.07886
2036,1120169.09349,1209064.95122
2037,1132865.31467,1216990.39353
2038,1149903.48605,1228211.92731
