year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,223035.33,16804.46,174015.0,462251.56
2018,223125.96,16801.02,174015.0,460773.77
2019,223975.98,16881.36,174015.0,462251.56
2020,223894.74,16880.1,174015.0,462251.56
2021,224672.31,16951.37,174015.0,463729.34
2022,225777.09,17058.7,174015.0,465207.13
2023,227015.89,17182.42,174015.0,466684.92
2024,228498.26,17329.3,174015.0,469640.49
2025,229233.36,17404.68,174015.0,471118.28
2026,229747.03,17452.15,174015.0,471118.28
2027,229969.87,17476.66,174015.0,471118.28
2028,230263.96,17502.28,174015.0,472596.07
2029,231074.04,17583.9,174015.0,474073.85
2030,231884.7,17665.11,174015.0,474073.85
2031,231442.56,17623.27,174015.0,474073.85
2032,231737.2,17651.5,174015.0,474073.85
2033,231516.27,17629.13,174015.0,474073.85
2034,231737.23,17653.96,174015.0,474073.85
2035,232179.22,17699.1,174015.0,475551.64
2036,232400.23,17714.52,174015.0,475551.64
2037,232621.21,17736.67,174015.0,475551.64
2038,231368.91,17612.28,174015.0,474073.85
2039,231589.91,17633.93,174015.0,474073.85
2040,231295.25,17607.67,174015.0,474073.85
