year,Base case diesel consumed,Modeled wind power
2019,223975.977244,197401.740682
2020,223894.742288,197320.505727
2021,224672.313862,198098.077301
2022,225777.086982,199202.850421
2023,227015.887235,200441.650674
2024,228498.25912,201924.022558
2025,229233.363918,202659.127356
2026,229747.025889,203172.789328
2027,229969.865074,203395.628513
2028,230263.960287,203689.723726
2029,231074.037659,204499.801098
2030,231884.700113,205310.463551
2031,231442.557883,204868.321322
2032,231737.203696,205162.967134
2033,231516.268805,204942.032244
2034,231737.228553,205162.991992
2035,232179.222293,205604.985732
2036,232400.226864,205825.990303
2037,232621.214512,206046.97795
2038,231368.910673,204794.674112
