year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,16804.458108,10455.8031345
2018,16801.0247198,10453.6668662
2019,16881.3595052,10503.6515009
2020,16880.1009572,10502.8684272
2021,16951.3746304,10547.2152006
2022,17058.6999628,10613.993465
2023,17182.4232438,10690.9746007
2024,17329.2964427,10782.3597107
2025,17404.6793508,10829.263267
2026,17452.1510873,10858.8003772
2027,17476.6613634,10874.050772
2028,17502.2763889,10889.9885466
2029,17583.8957164,10940.7724287
2030,17665.1078028,10991.3029238
2031,17623.2702888,10965.27145
