year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,174014.998438,128771.098844
2018,174014.998438,128771.098844
2019,174014.998438,128771.098844
2020,174014.998438,128771.098844
2021,174014.998438,128771.098844
2022,174014.998438,128771.098844
2023,174014.998438,128771.098844
2024,174014.998438,128771.098844
2025,174014.998438,128771.098844
2026,174014.998438,128771.098844
2027,174014.998438,128771.098844
2028,174014.998438,128771.098844
2029,174014.998438,128771.098844
2030,174014.998438,128771.098844
2031,174014.998438,128771.098844
