year,Base case cost,Selawik heat recovery
2019,3961147.78014,3963416.01206
2020,4085239.64544,4086800.30323
2021,4186579.22365,4187537.02428
2022,4262349.32054,4262789.44425
2023,4325377.89794,4325346.64264
2024,4378821.82259,4378384.65809
2025,4435494.26902,4434619.74123
2026,4495441.57,4494098.05503
2027,4541993.88754,4540226.99563
2028,4592143.28418,4589979.11362
2029,4656184.05882,4653590.49973
2030,4690038.32966,4687079.86771
2031,4749656.53219,4746262.05221
2032,4803122.71853,4799317.70806
2033,4862871.4004,4858642.50311
2034,4922970.88794,4918323.95705
2035,4974268.97861,4969267.78014
2036,5041116.45384,5035689.16984
2037,5074647.85728,5068896.68897
2038,5129027.62047,5122861.14131
