year,Base case diesel consumed,Selawik heat recovery
2019,653148.0,651213.0
2020,653147.0,651212.0
2021,654695.0,652760.0
2022,656281.0,654346.0
2023,657882.0,655947.0
2024,660984.0,659049.0
2025,662538.0,660603.0
2026,662585.0,660650.0
2027,662610.0,660675.0
2028,664113.0,662178.0
2029,665673.0,663738.0
2030,665754.0,663819.0
2031,665712.0,663777.0
2032,665741.0,663806.0
2033,665718.0,663783.0
2034,665743.0,663808.0
2035,667266.0,665331.0
2036,667282.0,665347.0
2037,667304.0,665369.0
2038,665701.0,663766.0
