year,Base case cost,Modeled solar power (pv)
2016,582720.844434,607659.515635
2017,715783.084502,739164.070415
2018,816726.852829,838962.172663
2019,958965.799109,979581.207686
2020,1025892.25334,1045811.14073
2021,1074088.5337,1093538.45412
2022,1108941.62144,1128091.31951
2023,1134633.92247,1153595.12921
2024,1155750.25222,1174579.44572
2025,1179181.10011,1197855.12413
2026,1209528.08548,1227972.5749
2027,1235297.33075,1253568.19761
2028,1256483.52941,1274635.39478
2029,1286894.19277,1304828.71663
2030,1303509.72666,1321381.75403
2031,1334473.15037,1352135.3125
2032,1367264.66311,1384696.54649
2033,1399544.09867,1416750.30966
2034,1432921.97959,1449907.06561
2035,1454246.14723,1471135.05858
