year,Base case cost,Modeled residential energy efficiency
2017,549197.822424,521384.543632
2018,591834.06894,554920.972839
2019,651912.416302,602176.850357
2020,680013.578778,624280.405971
2021,684037.651723,623961.384292
2022,698227.264105,635048.786228
2023,708632.979852,643179.547647
2024,717146.747281,649831.988809
2025,709245.029187,639862.130417
2026,721243.284481,649171.803325
2027,731395.654346,657049.218863
2028,721580.641452,645372.879702
2029,733279.487977,654383.14384
2030,739578.866875,659234.82453
2031,732396.178425,649363.553693
2032,744672.496008,658744.47486
2033,756948.81359,668125.396026
2034,749376.275558,657657.461577
2035,757060.911009,663480.77076
2036,769868.636761,673186.286067
