year,Base case cost,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study  phase ii--option 1
2021,1074088.5337,1182170.39426,1197045.22166,1129602.28718,1168175.13808,552890.626853,1239320.06286,1299608.05993,1301902.18265,591714.096481
2022,1108941.62144,1198122.38193,1208271.93431,1154479.79432,1192002.58412,557186.930615,1269972.90614,1318552.72178,1326202.15619,596100.837688
2023,1134633.92247,1209953.87624,1216638.22694,1172856.66958,1209609.41455,560470.92339,1292585.02789,1332578.84381,1344155.50679,599451.151257
2024,1155750.25222,1219729.54595,1223578.73163,1187987.65098,1224110.35928,563253.182755,1311181.21097,1344150.11803,1358939.96802,602287.67309
2025,1179181.10011,1230559.66045,1231258.66279,1204768.1118,1240190.77936,566312.841323,1331811.89588,1356975.34865,1375335.40644,605407.623287
2026,1209528.08548,1244525.69243,1241129.45642,1226469.59399,1260982.20859,570177.280582,1358518.66939,1373535.03158,1396536.3595,609350.441666
2027,1235297.33075,1256434.13098,1249572.69329,1244923.41349,1278665.98327,573538.217598,1381207.73538,1387638.09786,1414566.65435,612777.699476
2028,1256483.52941,1266279.6696,1256583.06689,1260124.2638,1293236.7969,576390.345872,1399873.78736,1399279.24098,1429420.98449,615684.090216
2029,1286894.19277,1280309.37957,1266517.53851,1281889.42398,1314091.90412,580318.463123,1426644.23886,1415902.6019,1450685.61554,619690.586587
2030,1303509.72666,1288104.40009,1272107.43069,1293849.68693,1325562.13854,582674.164486,1441299.65867,1425094.2037,1462376.3628,622088.492091
2031,1334473.15037,1302686.87041,1282594.66265,1316167.60746,1346970.00611,587155.042086,1468622.87052,1442270.32498,1484193.7542,626647.748811
2032,1367264.66311,1317837.35642,1293334.89198,1339648.57831,1369470.91992,591426.889782,1497494.15509,1460213.97355,1507135.69368,631004.004789
2033,1399544.09867,1332475.76525,1303563.04411,1362617.47198,1391459.75655,595186.66029,1525853.36248,1477645.54493,1529565.55598,634848.18358
2034,1432921.97959,1348212.61944,1314889.64161,1386684.81102,1414547.03854,600044.876164,1555311.01524,1496175.56168,1553093.86364,639790.807736
2035,1454246.14723,1358196.12704,1322037.9842,1402023.6303,1429255.82116,603034.97342,1574115.03621,1507954.67379,1568086.16276,642835.16746
2036,1489441.50418,1374490.38391,1333606.96606,1427243.40666,1453425.5364,607673.54639,1605110.14869,1527241.60484,1592728.4055,647564.177875
2037,1510802.81732,1384511.03701,1340792.45414,1442619.37144,1468171.46451,610700.789142,1623951.31515,1539057.86244,1607757.85012,650645.683095
2038,1546045.93276,1400853.05238,1352409.19449,1467886.90629,1492388.93824,615387.120606,1654994.18613,1558392.55199,1632447.85135,655422.452004
2039,1571466.7179,1412413.03081,1360503.97123,1485992.26566,1509724.2528,618399.597498,1677334.79201,1572147.15814,1650129.68608,658501.249689
2040,1611369.82419,1430894.89035,1373630.51908,1514589.71395,1537131.63182,623671.681945,1712477.62124,1594020.71508,1678072.59627,663875.829908
2041,1611986.26253,1431511.32869,1374246.95742,1515206.15229,1537748.07016,624288.120286,1713094.05958,1594637.15342,1678689.03461,664492.268249
2042,1612602.70087,1432127.76703,1374863.39577,1515822.59063,1538364.5085,624904.558628,1713710.49792,1595253.59177,1679305.47295,665108.706591
2043,1613219.13922,1432744.20538,1375479.83411,1516439.02897,1538980.94684,625520.996969,1714326.93626,1595870.03011,1679921.91129,665725.144932
2044,1613219.13922,1432744.20538,1375479.83411,1516439.02897,1538980.94684,625520.996969,1714326.93626,1595870.03011,1679921.91129,665725.144932
2045,1613835.57756,1433360.64372,1376096.27245,1517055.46731,1539597.38518,626137.43531,1714943.3746,1596486.46845,1680538.34963,666341.583273
2046,1613835.57756,1433360.64372,1376096.27245,1517055.46731,1539597.38518,626137.43531,1714943.3746,1596486.46845,1680538.34963,666341.583273
2047,1614452.0159,1433977.08206,1376712.71079,1517671.90565,1540213.82352,626753.873652,1715559.81294,1597102.90679,1681154.78797,666958.021615
2048,1614452.0159,1433977.08206,1376712.71079,1517671.90565,1540213.82352,626753.873652,1715559.81294,1597102.90679,1681154.78797,666958.021615
2049,1614452.0159,1433977.08206,1376712.71079,1517671.90565,1540213.82352,626753.873652,1715559.81294,1597102.90679,1681154.78797,666958.021615
2050,1615068.45424,1434593.5204,1377329.14913,1518288.344,1540830.26186,627370.311993,1716176.25129,1597719.34513,1681771.22631,667574.459956
