year,Base case diesel consumed,Modeled residential ashp
2017,110516.309967,-332514.048159
2018,102889.489201,-340140.868925
2019,104538.531529,-338491.826597
2020,105775.313275,-337255.044852
2021,107012.09502,-336018.263106
2022,111134.70084,-331895.657286
2023,116906.348988,-326124.009138
2024,127212.863537,-315817.494589
2025,137107.117505,-305923.240621
2026,146795.241181,-296235.116945
2027,152360.759038,-290669.599088
2028,156689.495148,-286340.862978
2029,206366.895276,-236663.46285
2030,254807.513658,-188222.844468
2031,294384.529528,-148645.828598
