year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,89125.0,65905.0931847
2018,89125.0,65905.0931847
2019,89125.0,65905.0931847
2020,89125.0,65905.0931847
2021,89125.0,65905.0931847
2022,89125.0,65905.0931847
2023,89125.0,65905.0931847
2024,89125.0,65905.0931847
2025,89125.0,65905.0931847
2026,89125.0,65905.0931847
2027,89125.0,65905.0931847
2028,89125.0,65905.0931847
2029,89125.0,65905.0931847
2030,89125.0,65905.0931847
2031,89125.0,65905.0931847
2032,,
2033,,
2034,,
2035,,
2036,,
