year,Base case cost,Modeled biomass for heat (cordwood)
2017,187280.431804,261958.629387
2018,207779.181804,275649.866022
2019,237190.431804,295965.99326
2020,250559.181804,304452.779197
2021,260362.931804,310336.149958
2022,267492.931804,314274.387986
2023,272840.431804,316925.793748
2024,277296.681804,318948.685294
2025,281752.931804,321001.397848
2026,287991.681804,324401.334342
2027,293339.181804,327170.659442
2028,297795.431804,329308.706593
2029,303142.931804,332132.926719
2030,306707.931804,333665.531368
2031,312946.681804,337201.154407
2032,,
2033,,
2034,,
2035,,
2036,,
