year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,89106.7394626,65938.9872023
2018,89106.7394626,65938.9872023
2019,89106.7394626,65938.9872023
2020,89106.7394626,65938.9872023
2021,89106.7394626,65938.9872023
2022,89106.7394626,65938.9872023
2023,89106.7394626,65938.9872023
2024,89106.7394626,65938.9872023
2025,89106.7394626,65938.9872023
2026,89106.7394626,65938.9872023
2027,89106.7394626,65938.9872023
2028,89106.7394626,65938.9872023
2029,89106.7394626,65938.9872023
2030,89106.7394626,65938.9872023
2031,89106.7394626,65938.9872023
