year,Base case cost,Suryan lake (chip creek),"Akhiok (unnamed stream, site #2) -- unnamed creek, 2","Akhiok (unnamed stream, site #1) -- unnamed creek, 1",Fraser lake (dog salmon creek),Akhiok (kempff bay creek)
2021,64609.126831,289852.759556,423580.939184,602260.758896,11145919.7281,367834.437319
2022,67210.4403823,284616.277641,415448.151304,590470.24908,10913568.5144,360965.24463
2023,68849.7194161,278974.413194,407007.26241,578476.333513,10687754.8051,353740.695828
2024,70079.1786914,273476.235284,398805.841773,566824.63087,10468907.9289,346708.999538
2025,71513.5478459,268099.711795,390770.440407,555407.560331,10254136.6005,339827.302547
2026,73357.7367588,262835.523139,382873.657868,544185.119162,10042399.8835,333078.804526
2027,74792.1059133,257706.02135,375203.053058,533286.019824,9837278.42862,326511.697647
2028,76021.5651886,252702.025411,367731.430171,522670.550143,9637736.71268,320109.358052
2029,77865.7541015,247795.461114,360362.779914,512197.999037,9439970.54892,313816.3062
2030,79558.8653916,243696.404266,353922.433362,502767.203175,9251008.30988,308388.494025
2031,81418.6830242,239030.133444,346901.192107,492781.372492,9062034.27698,302397.188714
2032,83278.5006567,234472.261412,340040.03195,483022.839455,8877294.82997,296543.932762
2033,85138.3182892,230020.247454,333335.200815,473486.276527,8696690.71611,290825.490485
2034,87204.7823254,225667.027015,326761.800504,464134.50474,8519202.99098,285227.458416
2035,88651.3071507,221428.512148,320401.191243,455090.351713,8348425.13058,279791.727181
2036,90717.7711868,217274.834053,314122.470954,446156.993319,8178732.50353,274447.81873
2037,91957.6496085,213235.768654,308070.869965,437553.42448,8016489.08137,269271.49936
2038,94024.1136446,209272.389048,302073.178562,429019.09636,7854230.44228,264169.94218
2039,95677.2848736,205409.994353,296253.550411,420741.251074,7697402.70352,259207.8056
2040,97950.3953133,201623.513931,290502.634668,412555.491145,7541311.64174,254326.128714
2041,97950.3953133,197975.019221,285114.612875,404905.08966,7398783.62757,249679.652897
2042,97127.2827477,193588.923453,279029.760151,396610.881714,7258772.9978,244318.966181
2043,97127.2827477,190109.44786,273891.342306,389314.890529,7122847.69543,239887.741666
2044,97127.2827477,186711.522445,268873.356085,382189.899072,6990108.14113,235560.373936
2045,97127.2827477,183393.235968,263972.979006,375231.899732,6860479.67255,231334.428966
2046,97127.2827477,180152.72169,259187.454307,368436.978206,6733889.36569,227207.529402
2047,97127.2827477,176988.157088,254514.090525,361801.312912,6610266.02396,223177.354204
2048,97127.2827477,173897.761888,249950.258587,355321.170853,6489540.10113,219241.636133
2049,96304.170182,170056.685214,244670.278826,348169.79446,6370820.57774,214575.048829
2050,96304.170182,167109.454725,240317.869582,341989.849497,6255687.36739,210821.65564
