year,Base case cost,Modeled non-residential energy efficiency
2017,98561.497231,110854.469924
2018,110153.904658,120307.56821
2019,126383.275056,133765.221156
2020,134111.546674,139915.922604
2021,139521.336807,144082.315032
2022,143385.472616,146929.487843
2023,146476.781263,149122.536929
2024,148795.262748,150661.198758
2025,151500.157814,152543.264564
2026,154977.880043,155101.165925
2027,157682.775109,157003.926077
2028,160001.256594,158583.988206
2029,163478.978822,161171.849695
2030,165411.046727,162438.502094
2031,168888.768955,165045.184967
