year,Base case cost,Modeled water and wastewater efficiency
2017,36708.3200739,29442.4967622
2018,41321.4418484,32653.7299303
2019,47783.3063777,37188.5722854
2020,50870.2672718,39312.7533202
2021,53032.6426334,40777.9421606
2022,54586.985885,41810.3062416
2023,55830.2555767,42622.171232
2024,56769.6602832,43218.587613
2025,57856.672568,43922.3344486
2026,59252.3671322,44848.4638599
2027,60342.5196018,45557.8335166
2028,61277.9969462,46158.2759339
2029,62690.2425051,47101.0487296
2030,63483.5348064,47602.9350599
2031,64887.2644584,48542.7777389
