year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2433.44554907,1581.7396069
2018,2446.10124306,1589.96580799
2019,2453.37718068,1594.69516744
2020,2461.19835476,1599.77893059
2021,2470.77319283,1606.00257534
2022,2479.07779191,1611.40056474
2023,2488.40079552,1617.46051709
2024,2496.85735902,1622.95728336
2025,2505.65024164,1628.67265707
2026,2514.00747493,1634.1048587
2027,2524.14725355,1640.69571481
2028,2535.31326436,1647.95362184
2029,2535.89736916,1648.33328996
2030,2540.15642168,1651.10167409
2031,2549.83517859,1657.39286608
