year,Base case diesel consumed,Modeled wind power
2019,206670.583425,149293.260521
2020,207340.504279,149963.181375
2021,208278.393474,150901.070571
2022,209015.306414,151637.98351
2023,209886.203524,152508.88062
2024,210690.108548,153312.785645
2025,211494.013573,154116.690669
2026,212230.926512,154853.603609
2027,213168.815708,155791.492804
2028,214240.689074,156863.36617
2029,214240.689074,156863.36617
2030,214642.641586,157265.318683
2031,215580.530782,158203.207878
2032,217188.340831,159811.017927
2033,219131.111307,161753.788404
2034,221073.881784,163696.55888
2035,223016.65226,165639.329356
2036,224892.430651,167515.107747
2037,226701.216956,169323.894053
2038,228777.971603,171400.6487
